Date,Consommation
2018-01-01,56302.041666666664
2018-01-02,63102.958333333336
2018-01-03,63761.270833333336
2018-01-04,63169.1875
2018-01-05,62318.708333333336
2018-01-06,59227.125
2018-01-07,58761.979166666664
2018-01-08,67164.83333333333
2018-01-09,68683.54166666667
2018-01-10,67405.125
2018-01-11,68516.16666666667
2018-01-12,69889.91666666667
2018-01-13,65975.45833333333
2018-01-14,63638.5625
2018-01-15,70662.41666666667
2018-01-16,68532.27083333333
2018-01-17,70484.10416666667
2018-01-18,69634.875
2018-01-19,68817.375
2018-01-20,64436.0
2018-01-21,59333.958333333336
2018-01-22,64262.8125
2018-01-23,64893.625
2018-01-24,63726.145833333336
2018-01-25,65070.625
2018-01-26,66985.75
2018-01-27,63842.770833333336
2018-01-28,60005.75
2018-01-29,65833.20833333333
2018-01-30,66266.47916666667
2018-01-31,67475.35416666667
2018-02-01,70213.64583333333
2018-02-02,72491.27083333333
2018-02-03,67554.95833333333
2018-02-04,66343.6875
2018-02-05,77231.02083333333
2018-02-06,78708.9375
2018-02-07,80049.0625
2018-02-08,80230.20833333333
2018-02-09,79876.60416666667
2018-02-10,72386.10416666667
2018-02-11,67135.0
2018-02-12,74370.04166666667
2018-02-13,79028.16666666667
2018-02-14,78045.60416666667
2018-02-15,71888.64583333333
2018-02-16,68817.89583333333
2018-02-17,62918.583333333336
2018-02-18,62391.958333333336
2018-02-19,70529.04166666667
2018-02-20,70390.14583333333
2018-02-21,73132.08333333333
2018-02-22,76916.20833333333
2018-02-23,77731.45833333333
2018-02-24,72350.27083333333
2018-02-25,70274.54166666667
2018-02-26,81881.5625
2018-02-27,87012.25
2018-02-28,89600.08333333333
2018-03-01,84582.27083333333
2018-03-02,76882.625
2018-03-03,66938.27083333333
2018-03-04,62062.75
2018-03-05,67215.79166666667
2018-03-06,66901.52083333333
2018-03-07,67873.16666666667
2018-03-08,67788.1875
2018-03-09,64220.479166666664
2018-03-10,55351.208333333336
2018-03-11,50928.354166666664
2018-03-12,60062.520833333336
2018-03-13,62450.020833333336
2018-03-14,62423.395833333336
2018-03-15,62012.145833333336
2018-03-16,61202.208333333336
2018-03-17,59760.916666666664
2018-03-18,61730.333333333336
2018-03-19,72389.47916666667
2018-03-20,74346.77083333333
2018-03-21,73350.625
2018-03-22,72089.1875
2018-03-23,69088.22916666667
2018-03-24,60309.75
2018-03-25,55763.333333333336
2018-03-26,62077.458333333336
2018-03-27,64169.270833333336
2018-03-28,62737.6875
2018-03-29,63105.708333333336
2018-03-30,63157.708333333336
2018-03-31,58258.354166666664
2018-04-01,54856.958333333336
2018-04-02,53712.604166666664
2018-04-03,57779.520833333336
2018-04-04,58139.583333333336
2018-04-05,58601.666666666664
2018-04-06,56631.291666666664
2018-04-07,48548.270833333336
2018-04-08,45271.520833333336
2018-04-09,52922.916666666664
2018-04-10,55150.104166666664
2018-04-11,56084.833333333336
2018-04-12,56018.5625
2018-04-13,54375.208333333336
2018-04-14,48535.916666666664
2018-04-15,45253.916666666664
2018-04-16,51310.875
2018-04-17,51092.958333333336
2018-04-18,48493.9375
2018-04-19,47315.104166666664
2018-04-20,47236.479166666664
2018-04-21,41829.958333333336
2018-04-22,39012.3125
2018-04-23,45426.979166666664
2018-04-24,46849.895833333336
2018-04-25,47722.791666666664
2018-04-26,48564.666666666664
2018-04-27,48608.0
2018-04-28,43579.395833333336
2018-04-29,42856.958333333336
2018-04-30,50589.791666666664
2018-05-01,45796.416666666664
2018-05-02,52406.145833333336
2018-05-03,51819.75
2018-05-04,50296.229166666664
2018-05-05,43742.479166666664
2018-05-06,39735.770833333336
2018-05-07,44069.625
2018-05-08,40798.4375
2018-05-09,43940.208333333336
2018-05-10,41078.4375
2018-05-11,44139.770833333336
2018-05-12,41895.125
2018-05-13,41563.625
2018-05-14,50479.1875
2018-05-15,51005.395833333336
2018-05-16,49588.854166666664
2018-05-17,49093.416666666664
2018-05-18,47877.75
2018-05-19,42357.916666666664
2018-05-20,39319.104166666664
2018-05-21,40704.604166666664
2018-05-22,46571.729166666664
2018-05-23,47044.791666666664
2018-05-24,47270.416666666664
2018-05-25,47193.3125
2018-05-26,41613.395833333336
2018-05-27,38887.75
2018-05-28,45889.416666666664
2018-05-29,46763.708333333336
2018-05-30,47341.291666666664
2018-05-31,47327.291666666664
2018-06-01,46714.458333333336
2018-06-02,41202.25
2018-06-03,38488.75
2018-06-04,45924.625
2018-06-05,47087.729166666664
2018-06-06,47363.854166666664
2018-06-07,47079.979166666664
2018-06-08,46708.958333333336
2018-06-09,41659.708333333336
2018-06-10,39055.333333333336
2018-06-11,46230.020833333336
2018-06-12,46775.916666666664
2018-06-13,46552.6875
2018-06-14,46978.125
2018-06-15,46681.729166666664
2018-06-16,41294.0625
2018-06-17,38432.270833333336
2018-06-18,45616.625
2018-06-19,47419.020833333336
2018-06-20,48333.875
2018-06-21,47887.145833333336
2018-06-22,46238.958333333336
2018-06-23,40929.375
2018-06-24,38570.958333333336
2018-06-25,45996.125
2018-06-26,47690.958333333336
2018-06-27,48064.395833333336
2018-06-28,48097.270833333336
2018-06-29,47963.958333333336
2018-06-30,43454.5625
2018-07-01,40760.6875
2018-07-02,47835.145833333336
2018-07-03,49297.583333333336
2018-07-04,49234.291666666664
2018-07-05,48270.9375
2018-07-06,47703.8125
2018-07-07,42885.104166666664
2018-07-08,40425.729166666664
2018-07-09,47794.416666666664
2018-07-10,48779.583333333336
2018-07-11,48300.9375
2018-07-12,48567.875
2018-07-13,48446.020833333336
2018-07-14,42230.666666666664
2018-07-15,40148.166666666664
2018-07-16,46724.645833333336
2018-07-17,48196.270833333336
2018-07-18,48653.5
2018-07-19,48960.083333333336
2018-07-20,47840.25
2018-07-21,41889.125
2018-07-22,39381.208333333336
2018-07-23,46958.6875
2018-07-24,48783.666666666664
2018-07-25,49453.958333333336
2018-07-26,49864.666666666664
2018-07-27,48772.541666666664
2018-07-28,42229.6875
2018-07-29,39665.145833333336
2018-07-30,45994.9375
2018-07-31,47459.4375
2018-08-01,47561.520833333336
2018-08-02,47896.0625
2018-08-03,47669.145833333336
2018-08-04,43193.270833333336
2018-08-05,40491.125
2018-08-06,45335.895833333336
2018-08-07,45861.0625
2018-08-08,44592.9375
2018-08-09,43254.291666666664
2018-08-10,42073.229166666664
2018-08-11,39000.395833333336
2018-08-12,36955.708333333336
2018-08-13,41075.979166666664
2018-08-14,41710.541666666664
2018-08-15,38719.9375
2018-08-16,42358.770833333336
2018-08-17,42190.104166666664
2018-08-18,39325.770833333336
2018-08-19,37774.604166666664
2018-08-20,43755.291666666664
2018-08-21,45494.208333333336
2018-08-22,46030.8125
2018-08-23,45936.083333333336
2018-08-24,44626.75
2018-08-25,39939.5625
2018-08-26,37733.104166666664
2018-08-27,44692.333333333336
2018-08-28,46689.083333333336
2018-08-29,46796.854166666664
2018-08-30,46620.666666666664
2018-08-31,46149.8125
2018-09-01,41109.666666666664
2018-09-02,38781.979166666664
2018-09-03,45594.708333333336
2018-09-04,47143.979166666664
2018-09-05,47506.0
2018-09-06,47391.333333333336
2018-09-07,46750.9375
2018-09-08,41376.979166666664
2018-09-09,39115.895833333336
2018-09-10,46157.458333333336
2018-09-11,47808.333333333336
2018-09-12,48045.083333333336
2018-09-13,47893.020833333336
2018-09-14,47002.0
2018-09-15,41611.916666666664
2018-09-16,39256.0625
2018-09-17,46466.145833333336
2018-09-18,47533.0
2018-09-19,47847.333333333336
2018-09-20,47787.520833333336
2018-09-21,47173.604166666664
2018-09-22,41558.479166666664
2018-09-23,39860.6875
2018-09-24,46477.604166666664
2018-09-25,48047.479166666664
2018-09-26,48629.083333333336
2018-09-27,48468.3125
2018-09-28,47554.416666666664
2018-09-29,42560.270833333336
2018-09-30,40728.9375
2018-10-01,48113.645833333336
2018-10-02,50631.5625
2018-10-03,49862.895833333336
2018-10-04,49339.6875
2018-10-05,48565.479166666664
2018-10-06,42686.75
2018-10-07,41198.479166666664
2018-10-08,48557.770833333336
2018-10-09,49326.875
2018-10-10,49000.270833333336
2018-10-11,48533.895833333336
2018-10-12,47880.875
2018-10-13,42226.9375
2018-10-14,39921.916666666664
2018-10-15,46868.729166666664
2018-10-16,48215.75
2018-10-17,48674.791666666664
2018-10-18,48683.354166666664
2018-10-19,48500.208333333336
2018-10-20,43668.270833333336
2018-10-21,42060.5625
2018-10-22,50087.5625
2018-10-23,52395.458333333336
2018-10-24,52429.333333333336
2018-10-25,51719.416666666664
2018-10-26,52943.895833333336
2018-10-27,50730.020833333336
2018-10-28,52672.75
2018-10-29,63478.291666666664
2018-10-30,64205.0625
2018-10-31,62362.833333333336
2018-11-01,53772.645833333336
2018-11-02,56679.145833333336
2018-11-03,55908.166666666664
2018-11-04,53084.729166666664
2018-11-05,57243.958333333336
2018-11-06,57135.1875
2018-11-07,58859.166666666664
2018-11-08,59689.541666666664
2018-11-09,58382.104166666664
2018-11-10,52036.666666666664
2018-11-11,48865.145833333336
2018-11-12,55486.791666666664
2018-11-13,56651.666666666664
2018-11-14,58050.729166666664
2018-11-15,58264.0
2018-11-16,59217.0
2018-11-17,56324.645833333336
2018-11-18,56732.5625
2018-11-19,68514.6875
2018-11-20,71803.45833333333
2018-11-21,71786.47916666667
2018-11-22,70453.79166666667
2018-11-23,68402.83333333333
2018-11-24,60360.770833333336
2018-11-25,59028.375
2018-11-26,67217.9375
2018-11-27,68621.58333333333
2018-11-28,66627.97916666667
2018-11-29,64280.395833333336
2018-11-30,63119.645833333336
2018-12-01,58613.479166666664
2018-12-02,54169.604166666664
2018-12-03,58829.479166666664
2018-12-04,59891.8125
2018-12-05,61798.458333333336
2018-12-06,60568.416666666664
2018-12-07,60785.645833333336
2018-12-08,57977.229166666664
2018-12-09,55424.895833333336
2018-12-10,63999.583333333336
2018-12-11,68256.77083333333
2018-12-12,71793.52083333333
2018-12-13,75093.97916666667
2018-12-14,76260.9375
2018-12-15,71726.625
2018-12-16,65146.958333333336
2018-12-17,69197.39583333333
2018-12-18,70737.29166666667
2018-12-19,68134.125
2018-12-20,67425.75
2018-12-21,64212.520833333336
2018-12-22,55893.791666666664
2018-12-23,53138.208333333336
2018-12-24,54331.125
2018-12-25,54584.1875
2018-12-26,65192.4375
2018-12-27,68783.9375
2018-12-28,68388.35416666667
2018-12-29,65269.145833333336
2018-12-30,61559.041666666664
2018-12-31,62406.1875
2019-01-01,58456.854166666664
2019-01-02,66135.66666666667
2019-01-03,72429.91666666667
2019-01-04,75035.77083333333
2019-01-05,70525.54166666667
2019-01-06,67694.64583333333
2019-01-07,73510.16666666667
2019-01-08,72492.60416666667
2019-01-09,74101.25
2019-01-10,77473.625
2019-01-11,76533.22916666667
2019-01-12,68562.58333333333
2019-01-13,62183.6875
2019-01-14,68072.20833333333
2019-01-15,70619.89583333333
2019-01-16,72926.14583333333
2019-01-17,71392.70833333333
2019-01-18,74970.70833333333
2019-01-19,70531.97916666667
2019-01-20,67246.5625
2019-01-21,76809.08333333333
2019-01-22,79380.16666666667
2019-01-23,78659.20833333333
2019-01-24,80309.91666666667
2019-01-25,77510.58333333333
2019-01-26,67508.29166666667
2019-01-27,64431.625
2019-01-28,73855.85416666667
2019-01-29,76675.39583333333
2019-01-30,77216.08333333333
2019-01-31,78307.60416666667
2019-02-01,73943.8125
2019-02-02,69333.0
2019-02-03,68711.16666666667
2019-02-04,78172.60416666667
2019-02-05,75308.5625
2019-02-06,72370.91666666667
2019-02-07,70569.64583333333
2019-02-08,69949.89583333333
2019-02-09,62651.729166666664
2019-02-10,60343.375
2019-02-11,69734.85416666667
2019-02-12,71763.16666666667
2019-02-13,71857.16666666667
2019-02-14,69983.79166666667
2019-02-15,66930.29166666667
2019-02-16,60210.520833333336
2019-02-17,56327.395833333336
2019-02-18,63091.6875
2019-02-19,64697.9375
2019-02-20,65548.25
2019-02-21,64367.6875
2019-02-22,62148.875
2019-02-23,55160.083333333336
2019-02-24,53696.25
2019-02-25,60462.895833333336
2019-02-26,59825.333333333336
2019-02-27,58780.229166666664
2019-02-28,59140.8125
2019-03-01,59320.770833333336
2019-03-02,54647.333333333336
2019-03-03,51936.416666666664
2019-03-04,60229.104166666664
2019-03-05,61895.166666666664
2019-03-06,61692.833333333336
2019-03-07,61069.625
2019-03-08,61395.9375
2019-03-09,55084.104166666664
2019-03-10,51253.916666666664
2019-03-11,61074.041666666664
2019-03-12,63878.833333333336
2019-03-13,64255.229166666664
2019-03-14,65125.333333333336
2019-03-15,61550.416666666664
2019-03-16,53494.0625
2019-03-17,52584.520833333336
2019-03-18,62325.9375
2019-03-19,62870.854166666664
2019-03-20,62042.5
2019-03-21,60067.291666666664
2019-03-22,57730.583333333336
2019-03-23,51469.604166666664
2019-03-24,48818.270833333336
2019-03-25,57077.25
2019-03-26,58960.770833333336
2019-03-27,58837.645833333336
2019-03-28,57769.5
2019-03-29,55647.666666666664
2019-03-30,48922.104166666664
2019-03-31,46230.9375
2019-04-01,52171.0
2019-04-02,53982.833333333336
2019-04-03,58972.458333333336
2019-04-04,61336.145833333336
2019-04-05,60028.5
2019-04-06,53908.1875
2019-04-07,50750.354166666664
2019-04-08,56627.083333333336
2019-04-09,56538.125
2019-04-10,56855.604166666664
2019-04-11,57170.6875
2019-04-12,57216.75
2019-04-13,53152.604166666664
2019-04-14,52241.041666666664
2019-04-15,57452.729166666664
2019-04-16,56242.291666666664
2019-04-17,54358.125
2019-04-18,51483.895833333336
2019-04-19,48949.666666666664
2019-04-20,43281.729166666664
2019-04-21,40540.583333333336
2019-04-22,41141.4375
2019-04-23,47849.6875
2019-04-24,49254.645833333336
2019-04-25,50926.354166666664
2019-04-26,51251.604166666664
2019-04-27,46814.229166666664
2019-04-28,46394.604166666664
2019-04-29,52229.041666666664
2019-04-30,51253.520833333336
2019-05-01,42965.770833333336
2019-05-02,49840.854166666664
2019-05-03,51112.854166666664
2019-05-04,48698.791666666664
2019-05-05,48957.125
2019-05-06,55150.083333333336
2019-05-07,53679.791666666664
2019-05-08,47370.125
2019-05-09,52171.625
2019-05-10,51591.6875
2019-05-11,45825.395833333336
2019-05-12,43723.8125
2019-05-13,49934.395833333336
2019-05-14,49668.208333333336
2019-05-15,49312.708333333336
2019-05-16,49207.041666666664
2019-05-17,49432.270833333336
2019-05-18,44623.166666666664
2019-05-19,42723.4375
2019-05-20,49223.229166666664
2019-05-21,49111.770833333336
2019-05-22,48312.041666666664
2019-05-23,47666.916666666664
2019-05-24,46872.645833333336
2019-05-25,41604.833333333336
2019-05-26,39343.604166666664
2019-05-27,46084.875
2019-05-28,47528.416666666664
2019-05-29,47937.666666666664
2019-05-30,41510.0625
2019-05-31,43175.416666666664
2019-06-01,40746.5625
2019-06-02,38540.020833333336
2019-06-03,45294.6875
2019-06-04,46523.479166666664
2019-06-05,46824.0
2019-06-06,46677.0
2019-06-07,46385.145833333336
2019-06-08,41315.145833333336
2019-06-09,38678.979166666664
2019-06-10,40629.395833333336
2019-06-11,47087.375
2019-06-12,47901.854166666664
2019-06-13,47452.416666666664
2019-06-14,46881.25
2019-06-15,41408.645833333336
2019-06-16,38932.895833333336
2019-06-17,45782.166666666664
2019-06-18,47095.354166666664
2019-06-19,47055.6875
2019-06-20,46737.791666666664
2019-06-21,46098.0
2019-06-22,41060.895833333336
2019-06-23,39076.958333333336
2019-06-24,47208.208333333336
2019-06-25,49374.5
2019-06-26,50320.729166666664
2019-06-27,50982.166666666664
2019-06-28,50134.958333333336
2019-06-29,45184.875
2019-06-30,42028.333333333336
2019-07-01,47997.666666666664
2019-07-02,48585.708333333336
2019-07-03,48785.291666666664
2019-07-04,49167.604166666664
2019-07-05,49485.916666666664
2019-07-06,44176.8125
2019-07-07,41045.916666666664
2019-07-08,47473.020833333336
2019-07-09,47392.125
2019-07-10,47867.729166666664
2019-07-11,48279.395833333336
2019-07-12,47991.833333333336
2019-07-13,42687.958333333336
2019-07-14,39519.6875
2019-07-15,45962.791666666664
2019-07-16,47671.1875
2019-07-17,48111.645833333336
2019-07-18,48082.583333333336
2019-07-19,47841.291666666664
2019-07-20,42823.083333333336
2019-07-21,40428.083333333336
2019-07-22,48263.833333333336
2019-07-23,50561.895833333336
2019-07-24,51247.833333333336
2019-07-25,51166.0
2019-07-26,48523.416666666664
2019-07-27,41070.5
2019-07-28,37427.520833333336
2019-07-29,43619.104166666664
2019-07-30,44691.625
2019-07-31,44490.395833333336
2019-08-01,44697.6875
2019-08-02,44197.458333333336
2019-08-03,40177.729166666664
2019-08-04,38201.520833333336
2019-08-05,42761.520833333336
2019-08-06,43339.645833333336
2019-08-07,42808.25
2019-08-08,43422.5625
2019-08-09,43692.979166666664
2019-08-10,39245.625
2019-08-11,36757.270833333336
2019-08-12,40299.6875
2019-08-13,40737.041666666664
2019-08-14,41008.479166666664
2019-08-15,37609.0625
2019-08-16,39850.125
2019-08-17,38449.4375
2019-08-18,37057.125
2019-08-19,41705.8125
2019-08-20,42751.125
2019-08-21,43140.583333333336
2019-08-22,43517.791666666664
2019-08-23,43763.479166666664
2019-08-24,40352.0625
2019-08-25,38570.875
2019-08-26,45624.0
2019-08-27,47153.666666666664
2019-08-28,47414.041666666664
2019-08-29,47377.5625
2019-08-30,47098.5625
2019-08-31,42103.8125
2019-09-01,39245.25
2019-09-02,45118.9375
2019-09-03,46532.8125
2019-09-04,46835.125
2019-09-05,46408.75
2019-09-06,45929.916666666664
2019-09-07,40733.6875
2019-09-08,38817.541666666664
2019-09-09,45825.729166666664
2019-09-10,46845.75
2019-09-11,46993.291666666664
2019-09-12,47074.625
2019-09-13,46456.125
2019-09-14,41222.458333333336
2019-09-15,39042.416666666664
2019-09-16,45936.541666666664
2019-09-17,46850.729166666664
2019-09-18,46620.8125
2019-09-19,46493.583333333336
2019-09-20,46185.375
2019-09-21,41068.875
2019-09-22,38525.5625
2019-09-23,44896.979166666664
2019-09-24,46167.729166666664
2019-09-25,46891.145833333336
2019-09-26,47239.375
2019-09-27,46458.3125
2019-09-28,41438.645833333336
2019-09-29,39592.020833333336
2019-09-30,46229.3125
2019-10-01,47485.3125
2019-10-02,47883.4375
2019-10-03,49402.875
2019-10-04,49027.520833333336
2019-10-05,43600.4375
2019-10-06,41335.145833333336
2019-10-07,48396.625
2019-10-08,49387.916666666664
2019-10-09,49864.125
2019-10-10,49934.604166666664
2019-10-11,49007.541666666664
2019-10-12,43138.333333333336
2019-10-13,40471.0625
2019-10-14,46881.895833333336
2019-10-15,48482.333333333336
2019-10-16,49882.166666666664
2019-10-17,50008.3125
2019-10-18,49516.333333333336
2019-10-19,44707.4375
2019-10-20,43168.708333333336
2019-10-21,50711.458333333336
2019-10-22,53200.479166666664
2019-10-23,52503.895833333336
2019-10-24,51652.3125
2019-10-25,50957.854166666664
2019-10-26,45315.25
2019-10-27,43902.583333333336
2019-10-28,52447.479166666664
2019-10-29,54269.020833333336
2019-10-30,54700.9375
2019-10-31,54120.395833333336
2019-11-01,47417.4375
2019-11-02,46340.541666666664
2019-11-03,46418.0625
2019-11-04,54180.8125
2019-11-05,56959.395833333336
2019-11-06,57945.458333333336
2019-11-07,59836.354166666664
2019-11-08,61771.125
2019-11-09,57556.770833333336
2019-11-10,55681.770833333336
2019-11-11,57542.604166666664
2019-11-12,64653.083333333336
2019-11-13,66392.89583333333
2019-11-14,68430.64583333333
2019-11-15,69615.20833333333
2019-11-16,63850.916666666664
2019-11-17,61159.083333333336
2019-11-18,68871.20833333333
2019-11-19,70053.20833333333
2019-11-20,71266.45833333333
2019-11-21,69913.3125
2019-11-22,66054.375
2019-11-23,58145.145833333336
2019-11-24,55944.604166666664
2019-11-25,61693.958333333336
2019-11-26,61151.083333333336
2019-11-27,60723.4375
2019-11-28,60913.25
2019-11-29,61032.979166666664
2019-11-30,59279.375
2019-12-01,58944.625
2019-12-02,68387.5625
2019-12-03,72277.33333333333
2019-12-04,73649.52083333333
2019-12-05,73344.95833333333
2019-12-06,72251.6875
2019-12-07,61504.833333333336
2019-12-08,57865.8125
2019-12-09,66388.75
2019-12-10,69837.79166666667
2019-12-11,70653.91666666667
2019-12-12,70857.04166666667
2019-12-13,67718.04166666667
2019-12-14,60104.25
2019-12-15,56425.75
2019-12-16,62644.520833333336
2019-12-17,61163.25
2019-12-18,61595.833333333336
2019-12-19,60134.791666666664
2019-12-20,58856.458333333336
2019-12-21,56222.395833333336
2019-12-22,54881.333333333336
2019-12-23,59111.729166666664
2019-12-24,55739.541666666664
2019-12-25,50828.416666666664
2019-12-26,57998.166666666664
2019-12-27,57654.541666666664
2019-12-28,56572.770833333336
2019-12-29,59809.791666666664
2019-12-30,65938.83333333333
2019-12-31,66632.5
2020-01-01,60785.958333333336
2020-01-02,64966.583333333336
2020-01-03,63830.416666666664
2020-01-04,60931.5625
2020-01-05,60551.5
2020-01-06,69904.625
2020-01-07,68540.1875
2020-01-08,65545.875
2020-01-09,63750.770833333336
2020-01-10,64752.520833333336
2020-01-11,62084.729166666664
2020-01-12,61293.5625
2020-01-13,67812.60416666667
2020-01-14,67291.66666666667
2020-01-15,65833.91666666667
2020-01-16,64789.520833333336
2020-01-17,64754.5625
2020-01-18,62903.041666666664
2020-01-19,63907.854166666664
2020-01-20,73132.60416666667
2020-01-21,74866.66666666667
2020-01-22,75599.6875
2020-01-23,75191.10416666667
2020-01-24,73312.16666666667
2020-01-25,66715.02083333333
2020-01-26,61810.583333333336
2020-01-27,68214.3125
2020-01-28,69240.27083333333
2020-01-29,68410.85416666667
2020-01-30,67455.66666666667
2020-01-31,61826.208333333336
2020-02-01,55672.0
2020-02-02,52669.6875
2020-02-03,58398.354166666664
2020-02-04,63533.375
2020-02-05,66248.85416666667
2020-02-06,68359.02083333333
2020-02-07,68208.4375
2020-02-08,60175.75
2020-02-09,57084.479166666664
2020-02-10,61772.958333333336
2020-02-11,64842.0625
2020-02-12,66509.47916666667
2020-02-13,67225.72916666667
2020-02-14,63440.020833333336
2020-02-15,57481.729166666664
2020-02-16,52842.895833333336
2020-02-17,60800.8125
2020-02-18,64212.666666666664
2020-02-19,64832.270833333336
2020-02-20,63993.833333333336
2020-02-21,64359.083333333336
2020-02-22,58595.020833333336
2020-02-23,53827.666666666664
2020-02-24,59050.0625
2020-02-25,61552.75
2020-02-26,66679.04166666667
2020-02-27,68286.85416666667
2020-02-28,67109.1875
2020-02-29,58728.979166666664
2020-03-01,56973.270833333336
2020-03-02,64943.6875
2020-03-03,67779.25
2020-03-04,67581.16666666667
2020-03-05,65386.875
2020-03-06,66287.875
2020-03-07,60446.145833333336
2020-03-08,56522.666666666664
2020-03-09,62808.270833333336
2020-03-10,63158.354166666664
2020-03-11,58516.729166666664
2020-03-12,58289.791666666664
2020-03-13,59280.8125
2020-03-14,54836.604166666664
2020-03-15,50592.0625
2020-03-16,56022.729166666664
2020-03-17,53727.020833333336
2020-03-18,49797.1875
2020-03-19,47393.875
2020-03-20,46204.9375
2020-03-21,45778.0
2020-03-22,46284.5625
2020-03-23,49762.6875
2020-03-24,50910.270833333336
2020-03-25,51864.041666666664
2020-03-26,52684.729166666664
2020-03-27,51686.270833333336
2020-03-28,47038.25
2020-03-29,48170.5625
2020-03-30,55293.916666666664
2020-03-31,54105.604166666664
2020-04-01,52383.583333333336
2020-04-02,51936.833333333336
2020-04-03,50226.8125
2020-04-04,45688.979166666664
2020-04-05,41614.958333333336
2020-04-06,44132.479166666664
2020-04-07,44202.791666666664
2020-04-08,42825.75
2020-04-09,41855.5625
2020-04-10,40639.770833333336
2020-04-11,37964.666666666664
2020-04-12,36706.3125
2020-04-13,37767.041666666664
2020-04-14,42746.916666666664
2020-04-15,43737.25
2020-04-16,42550.333333333336
2020-04-17,41283.6875
2020-04-18,38085.770833333336
2020-04-19,37287.625
2020-04-20,41660.4375
2020-04-21,42581.645833333336
2020-04-22,42581.6875
2020-04-23,42059.5
2020-04-24,41139.645833333336
2020-04-25,37802.083333333336
2020-04-26,36834.833333333336
2020-04-27,41073.479166666664
2020-04-28,42697.75
2020-04-29,43602.6875
2020-04-30,43987.458333333336
2020-05-01,39759.25
2020-05-02,39857.583333333336
2020-05-03,38463.979166666664
2020-05-04,42135.3125
2020-05-05,42716.395833333336
2020-05-06,42312.333333333336
2020-05-07,41799.125
2020-05-08,37728.25
2020-05-09,36990.6875
2020-05-10,36296.291666666664
2020-05-11,43494.270833333336
2020-05-12,45779.520833333336
2020-05-13,46562.166666666664
2020-05-14,46703.291666666664
2020-05-15,45529.145833333336
2020-05-16,40527.9375
2020-05-17,37860.979166666664
2020-05-18,42531.3125
2020-05-19,42898.666666666664
2020-05-20,42611.5625
2020-05-21,38090.020833333336
2020-05-22,39659.458333333336
2020-05-23,37610.5
2020-05-24,35793.895833333336
2020-05-25,41626.5
2020-05-26,42838.1875
2020-05-27,42803.895833333336
2020-05-28,42907.729166666664
2020-05-29,42270.020833333336
2020-05-30,37982.458333333336
2020-05-31,35618.708333333336
2020-06-01,37393.8125
2020-06-02,42894.25
2020-06-03,43628.645833333336
2020-06-04,43693.729166666664
2020-06-05,43366.583333333336
2020-06-06,38775.645833333336
2020-06-07,36911.958333333336
2020-06-08,42930.354166666664
2020-06-09,44508.229166666664
2020-06-10,44770.270833333336
2020-06-11,44800.833333333336
2020-06-12,44240.125
2020-06-13,39364.958333333336
2020-06-14,37228.020833333336
2020-06-15,43267.208333333336
2020-06-16,44451.708333333336
2020-06-17,44500.791666666664
2020-06-18,44550.5625
2020-06-19,43854.666666666664
2020-06-20,39341.5
2020-06-21,37086.895833333336
2020-06-22,43589.041666666664
2020-06-23,45050.229166666664
2020-06-24,45914.729166666664
2020-06-25,46564.458333333336
2020-06-26,45452.75
2020-06-27,40009.854166666664
2020-06-28,37856.4375
2020-06-29,44058.166666666664
2020-06-30,45217.4375
2020-07-01,45885.020833333336
2020-07-02,45685.791666666664
